document;left context;formula;;;unique;count
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ничего, мы ему купим петушка на палочке. 	 Давай, лучше уедем в Москву и зайдем к твоей маме. Я вчера была у нее, она так без тебя скучает. 	 ;нет;;;еще бы;19
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;На будущей неделе мы с Кузей уезжаем в Нарьян-Мар. Хочу видеть плоды своих трудов, черт возьми! У меня душа практика, а не исследователя! 	 ;да;;;как же;18
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Хочу видеть плоды своих трудов, черт возьми! У меня душа практика, а не исследователя! 	 Да, нам интересно иметь дело с людьми, а не с колбами, пробирками и прочим! 	 ;все вздор;;;здравствуйте;18
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Уж не с тебя ли она начнется, Ведерников? 	 ;почему бы и нет;;;привет;17
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Я почему-то счастлива. Очень. (Крепко жмет ему руку.) Милый Миша. 	 ;вот тебе и раз;;;вот как;16
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ты в самом деле ей признавался? 	 Кузе? ;да;;;ну да;16
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Шура, голубчик. Что же ты меня оставил одного? 	 Ничего, мы снова вместе, Аркаша. 	 Это твой друг? 	 ;да;;;помилуйте;16
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Быть вам мужем и женой. В Сибири такое поверье есть, ей-богу. 	 А вдруг это когда-нибудь и сбудется, а, Ольга Петровна? 	 ;протестую;;;прости;15
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Михей замечательный парень, все мы рядом с ним ни черта не стоим. 	 Перестань конфузить, Александр. 	 Я пью за ваше счастье, Оленька! 	 ;спасибо;;;здравствуй;14
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Перестань конфузить, Александр. 	 Я пью за ваше счастье, Оленька! 	 Спасибо! (Чокается с Ведерниковым.) 	 ;правильно;;;ой;14
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Опять со двора на кухню явилась эта ужасная собака. Я убеждала ее уйти, но она меня решительно не слушает. Пожалуйста, выпроводи ее на двор, и пусть она больше никогда не приходит. 	 ;ладно;;;что такое;14
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Вчера, например, пришел совершенно незнакомый петух. По-моему, с этим явлением необходимо как-то бороться, починить калитку, во всяком случае. 	 Пес удалился, Настасья Владимировна. Тетя Тася. ;прекрасно;;;погоди;13
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Это так верно! К сожалению, я не всегда придерживалась этого правила. 	 Я слышала, у Ивана Степановича в Экспериментальном институте освободилось место старшего ассистента? 	 ;да;;;извини;12
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Бельэтаж, зеркальные окна! Впрочем, привыкнуть можно ко всему. Даже к Москве. 	 Позавчера письмо от Олега Доронина пришло из Нарьян-Мара. 	 ;ну;;;ах;12
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Помолчав.) Трудно ему будет одному. 	 Зовет меня к себе. 	 Поедешь? 	 ;не решено;;;видишь ли;12
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Это мне сейчас знаешь как потребно? За все отвечать самому. Заманчиво, черт. Но сегодня меня вызвал Иван Степанович и предложил. 	 ;кстати;;;пожалуйста;12
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Я пойду к себе, займусь немного. Когда будет чай, позовите! (Уходит в соседнюю комнату.) 	 А вы все с экзаменами мучаетесь? 	 ;приходится;;;хватит;12
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;верно, в семье врачи были? 	 ;нет;;;ага;12
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;служил в Черниговском полку. 	 	 Ведерников часто у вас бывает? 	 ;нет;;;извините;12
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Мы ведь сибиряки, моего прадеда в Тобольскую губернию сослали, он был декабрист, служил в Черниговском полку. 	 	 Ведерников часто у вас бывает? 	 Нет, у них нелады с Мишей. 	 ;еще бы;;;да нет;10
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Впрочем, Шурку это совершенно не заботит. Он тратит не задумываясь все, что у него есть в кармане. 	 Но он у всех занимает деньги. Даже у вас. 	 ;откуда вы знаете это;;;что ж;10
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Любить – значит научить, помочь, спасти. 	 Спасти? По-вашему, выходит, можно полюбить только того, кто нуждается в спасении? 	 ;нет;;;чё;9
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Любить – значит научить, помочь, спасти. 	 Спасти? По-вашему, выходит, можно полюбить только того, кто нуждается в спасении? 	 Нет. ;не знаю;;;не надо;9
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;На веранде появляются Павлик и Люся. 	 Оленька, можно к вам? Галина Сергеевна, примите привет. 	 ;конечно;;;ясно;9
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Здравствуйте, Люся. 	 ;добрый вечер;;;полноте;8
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Он перестал закрываться и в конце раунда Штейн его нокаутировал прямым слева. Его унесли с ринга. Мы с Павликом ждали его, но он вышел другим ходом, он ведь такой стеснительный, когда проиграет. 	 Где же он ночевал? 	 ;не знаю;;;то-то же;8
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Вы слышали, его в Экспериментальный институт переводят. 	 Вот увидите, Оленька, лет через десять все нас будут спрашивать: «Как? Неужели вы сокурсник знаменитого Ведерникова?» Увидите! 	 ;ну;;;ого;8
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;А по мне даже лучше, если он не знаменитый. 	 ;почему же это;;;о;8
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Улыбнулась.) Я иногда даже иду по улице и думаю: вот если бы он под трамвай попал, я бы так о нем заботилась. 	 Ну что за чудовищные вещи вы говорите, Люся. 	 ;а что;;;правильно;8
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Я правду сказала. Я верно так думаю. 	 ;да;;;ей-богу;8
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ты должна беречь голос. Он – все для актрисы. 	 Тетя, я это знаю. (Входит в комнату.) ;здравствуйте;;;подожди;8
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Чайник греется, но с керосинкой произошла катастрофа. Один из фитилей совершенно в безнадежном состоянии. Он провалился куда-то вниз. (Уходит.) 	 ;здравствуйте;;;неужели;8
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Ольге.) Миша дома? 	 Занимается. Просил не мешать ему. 	 ;ну;;;эх;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Сяду-ка я на восьмой номер и поеду к себе на Божедомку. А потом придет мама с дежурства и будет огорчаться, почему я не Мечников, а обыкновенный врач районной поликлиники. 	 Никуда я вас не пущу, сейчас чай будем пить. 	 ;и верно;;;вот и все;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Браво! Браво, Настасья Владимировна! Тетя Тася. Шура? ;ну конечно;;;что вы;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Я тут с вами болтаю, а в кухне, вероятно, разыгрываются необычайные события. Закипел чайник, или снова явилась эта ужасная собака! (Быстро уходит.) Из комнаты Лаврухина появляются Люся и Павлик. 	 ;наконец-то;;;ох;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;context not found;нет-нет;;;слава богу;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Я сегодня обед сделала на Павлушины деньги. Такой вкусный борщ, а ты не пришел. Ну, ничего, как-нибудь до первого перебьемся, ведь у тебя еще тридцать рублей есть. 	 ;видишь ли;;;никак нет-с;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Вот. Я купил Настасье Владимировне. Люся смотрит на Ведерникова, молча садится в кресло. 	 ;нет-нет;;;да-да;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Люся, глупая, ты сошла с ума! 	 Эх, Шура, ты знаешь, как я верю в тебя. Если только нужно, я что хочешь, но… 	 ;ладно;;;прощайте;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Люся, глупая, ты сошла с ума! 	 Эх, Шура, ты знаешь, как я верю в тебя. Если только нужно, я что хочешь, но… 	 Ладно, ;ладно;;;всё;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Эх, Шура, ты знаешь, как я верю в тебя. Если только нужно, я что хочешь, но… 	 Ладно, ладно, ты только и ждешь беды, чтобы меня из нее выручать! Знаю я твой благородный характер. ;ничего;;;до свидания;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ведь плохо с тобой, Шурка, совсем, брат, плохо! Вспомни, как мы раньше спорили ночами, как хотелось работать вместе! Да ведь я, я богаче становился после наших споров, ты был необходим мне тогда! ;а теперь;;;и что;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Иван Степанович? 	 Ты рассказываешь всем, что он переводит тебя в Экспериментальный институт, но ведь это неправда. 	 Что? Кто же сей счастливец? 	 	 ;не в том суть;;;нет-нет;7
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Что? Кто же сей счастливец? 	 	 Не в том суть, друг. 	 ;а все же;;;да ладно;6
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;которую разряжает появление тети Таси с чайником. Тетя Тася. ;ну-с;;;ну-ну;6
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Я, пожалуй, пойду. Вы простите. 	 Куда же вы, Люсенька? Сейчас дождь будет. 	 ;а мне все равно;;;извольте;6
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Показался во всем блеске. Хорош! (Уходит за Лаврухиным.) Тетя Тася. ;ну;;;черт побери;6
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;В полутьме из глубины веранды показывается Ольга. Она медленно подходит к Ведерникову и кладет ему руку на плечо. 	 Итак, вас, кажется, можно поздравить с успехами вашего Миши? 	 А у вас слезы на глазах. 	 ;еще чего;;;понятно;6
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Помолчав.) А может, и нет. Проходят дни, и я, как зевака на перекрестке, стою и любуюсь. 	 ;чем;;;добрый вечер;6
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Тетя Тася (встает, целует Лаврухина). Мой друг, наконец-то! Так долго никаких писем. 	 Ольга дома? 	 ;нет;;;ну что ж;6
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Мы только что заезжали туда. Ее там нет. 	 ;ничего;;;так вот;6
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Убегает.) 	 А квартирка у вас вполне культурная. Случаем, ваш папаша не профессор были? 	 ;нет;;;боже мой;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Вот и меня сыновья во всем превзошли. Я не обижаюсь, государство установку дает. Лаврухин снимает с комода Ольгину фотографию, смотрит на нее. Жена ваша? 	 ;нет;;;вот видишь;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Горошка мы не обожаем, а вот селедочкой воспользуемся. Нина, все еще не веря, что они сейчас уйдут, стоит перед ними, растерянно улыбаясь. Лаврухин и Бочкин закусывают и пьют чай, стоя как-то странно, почти навытяжку. 	 Как Ольга? 	 ;спасибо;;;а как же;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Как там? 	 Города не отдадут. А где Павлик? По-прежнему в Севастополе? 	 ;да;;;что вы хотите сказать;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Прощай, актриса. (Нина бросается к Лаврухину на шею, плачет.) Ну, этого не надо. 	 ;конечно;;;милости просим;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ну, все. Прощайте, Настасья Владимировна. Тетя Тася (только сейчас поняла, что он уезжает). ;как;;;чего;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Дождись Ольгу, так же нельзя. Это непорядочно. 	 Очень с вами согласен. (Целует ее.) ;прощайте;;;э;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;время вышло. (Идет к двери.) 	 ;прощайте;;;точно;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Нина (усмехнулась.) Смешно звучит этот вопрос: «Шура дома?» (Резко.) Разве здесь его дом? 	 ;не стоит об этом;;;наконец-то;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Он жалкий лгунишка, хвастун, устроился в тылу и врет всем, что изобретает что-то. А ты его слушаешь, все свои свободные минуты проводишь с ним, ты всех ради него забыла! И это в то время, когда Миша там. 	 Нина. 	 ;нет;;;точно так-с;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Милая, милая, прости. Ну не гляди на меня так, я твоя сестра, друг, слышишь? Но если, если ты действительно любишь, у тебя должно хватить характера оставить его. 	 ;да;;;что вам угодно;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ты пришла, Ольга? Возможен вариант, что сегодня я сделаю суп с клецками. 	 Тетечка, Ольга уезжает, на фронт. Тетя Тася. ;ах вот как;;;ах да;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;В конце концов, ты из военной семьи, и я нахожу, что тебе повезло. Ты могла бы попасть бог весть в какой заштатный госпиталь, а теперь едешь в действующую армию, то есть в места, где непосредственно решаются судьбы России. 	 Оля уезжает сегодня, тетя, через час. Тетя Тася. ;да;;;доброе утро;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Чем скорее, тем лучше, не правда ли? Жаль вот только, что ты не сможешь быть в субботу у Нины на выпускном спектакле. Правда, Нина? 	 ;да;;;да-с;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;И потом, очень маму будет жалко, она почему-то ждет, что я прославлюсь. Все еще ждет. Знаешь, мамы такой странный народ, Шура. 	 ;да;;;ну что;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(С воодушевлением.) Ведь то, о чем ты мне сегодня рассказал, это ж величайшее дело! При раневых инфекциях сульфидин и стрептоцид малоэффективны! А ведь твой раствор не химический антисептик? 	 ;конечно;;;прекрасно;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Да, если, если! Но время идет, умирают люди, а я все еще путаюсь, как слепой, в трех соснах. 	 А почему ты не привлечешь к консультации какого-нибудь видного специалиста, профессора? 	 ;к черту;;;эй;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Надевает фуражку.) Вот и все. А затем до свидания. (Быстро уходит.) 	 ;до вечера;;;ты чё;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Я знаю. Иди. Нина уходит. 	 Вы из института? 	 ;да;;;верно;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Что же вы не сказали? 	 У него дела. Он зайдет попозже и ночевать будет у нас. Еще успеете наговориться. 	 ;да;;;господи;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;У него дела. Он зайдет попозже и ночевать будет у нас. Еще успеете наговориться. 	 Да? ;ну что же;;;а-а;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Солдаты идут. (Смотрит в окно.) Наверное, на вокзал. 	 ;вот как;;;брось;5
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Вы сейчас на мою маму похожи. (Улыбнулся.) Она очень баловала меня в детстве. 	 Что я хотела вам сказать. ;ах;;;что это;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Тетя Тася (вынося чемодан). Ну, кажется, все, Ты можешь ехать, милая. 	 Хлеб и сахар я кладу в мешок. 	 Шура! 	 ;подождите;;;что-о;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Тетя Тася. Мешок дай мне, тебе вредно утомляться перед спектаклем. Тетя Тася и Нина выходят с вещами. 	 Вот! ;наконец-то;;;благодарю вас;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Куда ж все девались? Тетя Тася. Только что звонил Павлик и просил передать, что не сумеет зайти. Он получил предписание немедленно вернуться в Севастополь. 	 ;но почему же;;;простите;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Как уехала? А когда вернется? Тетя Тася (улыбается, не понимая). ;что вы;;;да нет же;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;В Звенигороде куда лучше. (Сильный порыв ветра.) Галина Сергеевна, вас метель не нервирует? 	 ;нет;;;ты чего;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Перелистывает стенограмму.) Как все-таки приятно, Люся, когда человек – талант и умница! И самое главное – это, пожалуй, то, что талант его согрет любовью к людям. (Словно спохватившись.) ;ладно;;;благодарю;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Он в последнем письме написал, что в середине февраля приедет. 	 	 Как ветер-то ноет! Говорят, в метель сны счастливые снятся. (Тряхнула головой.) ;ладно;;;ну конечно;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ну, как вам это безобразие нравится? Нам, сибирякам, и то этакая метель не в привычку. Я-то хорош, у самого вашего дома в сугроб провалился. ;ну;;;добрый день;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Оказывается, грузовик. Стоит у самого дома, и снегом его занесло. Вы только гляньте, какая шишка на лбу! ;да;;;как же-с;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Только вы недолго Галину Сергеевну задерживайте, а то она совсем не спит. Придет из цеха, а после ваши стенограммы расшифровывает. 	 Ну, что вы, Люся, говорите! 	 ;вот как;;;ниче;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;переходите в заводоуправление работать стенографисткой, а в цехе без вас обойдутся. 	 ;нет;;;увы;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Они жмут друг другу руки.) Где воевали? 	 В разных местах пришлось. Выбыл из строя под Воронежем и, ;правду сказать;;;угу;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Где воевали? 	 В разных местах пришлось. Выбыл из строя под Воронежем и, правду сказать, на многое не рассчитывал. Однако, ;как видите;;;замолчи;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Вы, конечно, шутите? 	 Я говорю правду. 	 В Москве меня считали лентяйкой, неудачницей. 	 ;вот чепуха-то;;;че;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;В это я бы поверил. 	 Что вы, Михаил Иванович, Павлик был куда более аккуратный. 	 Аккуратный? (Улыбнулся.) ;hy-ну;;;отчего же;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Что вы, Михаил Иванович, Павлик был куда более аккуратный. 	 Аккуратный? (Улыбнулся.) Hy-ну, ;предположим;;;ну хорошо;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Павлику? 	 Верно, теперь Шурка продолжит его работу. Сейчас главное – не упускать время. Ведь тут же к самой гангрене тропка ведет. ;да;;;до свиданья;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;С утра. Иначе мне крышка, понимаете, Люся? 	 Конечно, понимаю. Мы с Галиной Сергеевной тоже так думаем. 	 ;вот как;;;ты что;4
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Он какой-то девушке свидание назначил у телеграфа, а она не явилась, он ее целый час прождал и был ужасно злой. А я как раз с работы шла, он меня увидел и сразу влюбился до безумия. Смешно, правда? ;ну ладно;;;неправда;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Выходит из комнаты и сразу же возвращается.) Вы подумайте, Михаил Иванович, как хорошо-то. Соседка с работы вернулась, а у нее, оказывается, письмо от Шуры лежало с самого утра. ;верно;;;то-то;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Ты знаешь, когда я болел, Ольга спасла меня, вернула жизнь. Нет, не в жизни дело, она заставила меня стать другим, понимаешь? И вот сейчас я с отчаянием убеждаюсь, что мне трудно, мне невозможно жить без нее.» (Поднимает глаза на Люсю.) 	 ;ничего;;;позвольте;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Второй солдат. А мне нет. Мне родимый дом приснился. Третий солдат. ;ну и ладно;;;чего изволите;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;дороги 		Пыль да туман. 	 ;да;;;черт возьми;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Оборвав игру, посмотрел в сторону боя.) Не дошел я до Берлина. 	 Дойдешь, артиллерист. 	 Домой направляют. 	 ;что так;;;к черту;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Они при операции брякают очень. 	 Ты скажешь! 	 Да ты знаешь, что он за личность, Александр Николаевич? Он много тысяч бойцов своей рукой спас. ;скажем;;;ничего себе;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;балда? 	 Уж больно ты горячо рассуждаешь. ;видать;;;спокойной ночи;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Разве я ему пара! Он для меня не более, как дальняя звезда. (Подумав.) И не менее. 	 ;понятно;;;никак нет;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Она очень изменилась. 	 Уже утро? Кажется, светает. Не навели еще переправу? 	 ;никак нет;;;а то;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Хватит, наигрался. (Подошел к Зойке.) Раненых везете? 	 Из-под Блакенбурга. 	 ;ну;;;а все же;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Раненых везете? 	 Из-под Блакенбурга. 	 Ну, как там? 	 Части к Берлину стремятся. ;похоже;;;разумеется;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;(Пауза.) Давно воюешь? 	 С июля сорок второго. 	 С нашим братом имел дело? 	 ;а как же;;;блядь;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Спасибо, препарат доктора Тучкова выручил. 	 Об этом аппарате и я в госпитале слышал. Говорят, великая вещь. 	 ;это точно;;;зачем;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Только он не во всех случаях способствует. Вот у нас в лазарете старшина Васюков гангреной мучился. ;ну;;;кстати;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;С мертвого спроса нет. Ну, а другие врачи что же? 	 Газовая гангрена – не шутка, сержант. ;и все же;;;иди;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Жили вот в одном городе, а виделись редко. Сейчас даже вспомнить об этом страшно: как я мог так жить. (Помолчав, берет лежащий перед Солдатенковым осколок зеркала, смотрит на себя.) ;да;;;успокойся;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Полагаете, они за такую перспективу погибли? 	 Ну, а по-твоему как, сержант? 	 Пока на земле горе, нам покоя нет. 	 ;это точно;;;стоп;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Какое хорошее лицо. Только исхудавшее очень. И на Ольгу похожа. Чуть-чуть. 	 ;хватит;;;дай бог;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Что за шум, а драки нет? Второй солдат. Слышь, Мишка, а мне приснилось, будто убило нас.  Третий солдат. ;ну да;;;и что же;3
Puzhaeva_Piskunova_Arbuzov_Gody_stranstviy;Слышишь, кремлевские часы бьют! Они берутся за руки и слушают далекий бой часов. 	 Неужели мы дома, Шура? 	 ;все может быть;;;так-с;3
